SRIASupplierID,Name,VPManager,Crunchbase,Ticker,CompanyID,CreatedAt,UpdatedAt,State,Industry,EmployeeCount
648,"Keiter, Stephens, Hurst, Gary and Shreaves P.C. (Unitranche)","Jon Buckbee",keiter,NULL,648,"2019-10-22 03:22:35","2022-01-10 19:06:37","VA  ",NULL,NULL
651,"Kensington Capital Advisors, LLC","Jon Buckbee",NULL,NULL,651,"2019-10-22 03:22:35","2022-01-10 19:06:38","NC  ",NULL,NULL
664,"Lehman Consulting, a division of the Wharton Group","Jon Buckbee",NULL,NULL,664,"2019-10-22 03:22:35","2022-01-10 19:06:44","ID  ",NULL,NULL
676,"Lokalise, Inc.","Jim Martin",lokalise-inc,NULL,676,"2019-10-22 03:22:35","2022-01-11 03:09:52","DE  ",NULL,NULL
687,"The University Of South Australia",NULL,marketing-science-institute,NULL,687,"2019-10-22 03:22:35","2022-01-11 03:09:52","MA  ",NULL,NULL
689,"Payscale Inc. (dba Marketpay Associates)","Courtnee Smith",marketpay,NULL,689,"2019-10-22 03:22:36","2022-01-11 03:09:52",,NULL,NULL
690,Markit,"Courtnee Smith",NULL,NULL,690,"2019-10-22 03:22:36","2022-01-10 19:06:57",,NULL,NULL
697,"MDSec Consulting Ltd - UK","Robert Harding",mdsec,NULL,697,"2019-10-22 03:22:36","2022-01-10 19:07:00",,NULL,NULL
701,"MERS-Mortgage Corp Inc.","Jim Gorzalski",merscorp-holdings,NULL,701,"2019-10-22 03:22:36","2022-01-10 19:07:03","VA  ",NULL,NULL
713,Modolabs,"Courtnee Smith",modo-labs,NULL,713,"2019-10-22 03:22:36","2022-01-10 19:07:09","MA  ",NULL,NULL
715,"Money Guru Limited","Lucy-Marie Hagues",money-guru,NULL,715,"2019-10-22 03:22:36","2022-01-11 06:15:54",NULL,NULL,NULL
716,"Money Supermarket - UK","Lucy-Marie Hagues",moneysupermarket,MONY,716,"2019-10-22 03:22:36","2022-01-10 19:07:11",,NULL,NULL
718,"MONTAGE TALENT","Courtnee Smith",montage-talent,NULL,718,"2019-10-22 03:22:36","2022-01-10 19:07:12",WI,NULL,NULL
731,MVTrac,"Jim Gorzalski",mvtrac,NULL,731,"2019-10-22 03:22:36","2022-01-11 03:07:44",,NULL,NULL
732,"NADA (FS)","Jim Gorzalski",nadaguides,NULL,732,"2019-10-22 03:22:36","2022-01-10 19:07:18",,NULL,NULL
739,"NC Squared, Inc.","Jim Gorzalski",nc-squared,NULL,739,"2019-10-22 03:22:36","2022-01-11 06:12:05",NULL,NULL,NULL
744,"NetBooster - UK","Lucy-Marie Hagues",4ps-marketing,NULL,744,"2019-10-22 03:22:36","2022-01-11 03:03:45",,NULL,NULL
756,Obytes,"Courtnee Smith",NULL,NULL,756,"2019-10-22 03:22:36","2022-01-10 19:07:30",NULL,NULL,NULL
758,"Moody's Analytics, Inc. (SB-Card)","Jim Martin",omega-performance,NULL,758,"2019-10-22 03:22:36","2022-01-11 05:38:30","VA  ",NULL,NULL
771,"Owl & Giraffe Ltd - UK","Lucy-Marie Hagues",NULL,NULL,771,"2019-10-22 03:22:36","2022-01-10 19:07:37",NULL,NULL,NULL
781,"PAYSYS INTERNATIONAL INC","Courtnee Smith",NULL,NULL,781,"2019-10-22 03:22:36","2022-01-10 19:07:41",,NULL,NULL
785,"People for Research - UK","Lucy-Marie Hagues",NULL,NULL,785,"2019-10-22 03:22:36","2022-01-10 19:07:43",NULL,NULL,NULL
787,"PEREGRIN SERVICES CORP.","Jim Martin",peregrin,NULL,787,"2019-10-22 03:22:36","2022-01-10 19:07:44","MD  ",NULL,NULL
796,"Pioneer Life Insurance","Courtnee Smith",NULL,NULL,796,"2019-10-22 03:22:36","2022-01-10 19:07:48",,NULL,NULL
802,"Fine Mountain Consulting, LLC","Jim Gorzalski",NULL,NULL,802,"2019-10-22 03:22:36","2022-01-10 19:07:51","CO  ",NULL,NULL
805,"Portfolio Recovery Associates","Jim Martin",portfolio-recovery-associates-5413,NULL,805,"2019-10-22 03:22:36","2022-01-11 05:38:28",,NULL,NULL
807,"POST UP DIGITAL LLC dba UNSUBCENTRAL","Jim Martin",skylist,NULL,807,"2019-10-22 03:22:36","2022-01-10 19:07:54",NY,NULL,NULL
808,"Postman, Inc.","Courtnee Smith",postman,NULL,808,"2019-10-22 03:22:36","2022-01-11 05:38:28",,NULL,NULL
813,"Prevost Fortin D'Aoust","Mark Snyder",pfd-avocats,NULL,813,"2019-10-22 03:22:37","2022-01-10 19:07:56",,NULL,NULL
820,"ProofreadNOW.com, Inc.","Marc Mentry",proofreadnow-com,NULL,820,"2019-10-22 03:22:37","2022-01-11 05:38:28","NH  ",NULL,NULL
828,"Quadrant Events - UK",NULL,quadrant-events,NULL,828,"2019-10-22 03:22:37","2022-01-10 19:08:05",NOTT,NULL,NULL
831,"QUINTELA GROUP","Courtnee Smith",NULL,NULL,831,"2019-10-22 03:22:37","2022-01-10 19:08:06","TX  ",NULL,NULL
